task_id,task_names,default_acc
2,anneal,0.76169265
3,kr-vs-kp,0.522215269
6,letter,0.04065
11,balance-scale,0.4608
12,mfeat-factors,0.1
14,mfeat-fourier,0.1
15,breast-w,0.655221745
16,mfeat-karhunen,0.1
18,mfeat-morphological,0.1
20,mfeat-pixel,0.1
21,car,0.700231481
22,mfeat-zernike,0.1
23,cmc,0.427019688
24,mushroom,0.517971443
26,nursery,0.333333333
28,optdigits,0.101779359
29,credit-a,0.555072464
30,page-blocks,0.897679518
31,credit-g,0.7
32,pendigits,0.104075691
33,cylinder-bands,0.577777778
36,segment,0.142857143
37,diabetes,0.651041667
41,soybean,0.134699854
43,spambase,0.605955227
45,splice,0.518808777
49,tic-tac-toe,0.653444676
53,vehicle,0.257683215
58,waveform-5000,0.3384
219,electricity,0.575454626
2068,solar-flare,0.995309568
2073,yeast,0.311994609
2074,satimage,0.238102644
2075,abalone,0.164950922
2076,kropt,0.162282578
2077,baseball,0.906716418
2079,eucalyptus,0.29076087
