task_id,task_names,def.acc
1,n1,0.549097065
2,n10,0.521052632
3,n11,0.358095238
4,n12,0.508108108
5,n13,0.501766784
6,n14,0.501510574
7,n15,0.553381778
8,n16,0.614013522
9,n17,0.504069176
10,n18,0.504824784
11,n19,0.35649982
12,n2,0.555122494
13,n20,0.503058104
14,n21,0.50125439
15,n22,0.334346505
16,n23,0.549605411
17,n3,0.41130363
18,n4,0.503064351
19,n5,0.504884319
20,n6,0.336177474
21,n7,0.503311258
22,n8,0.500252398
23,n9,0.502810424
24,o1,0.509051412
25,o10,0.341195608
26,o11,0.509256449
27,o12,0.521650327
28,o13,0.518830306
29,o14,0.521113244
30,o15,0.535695115
31,o16,0.547468354
32,o17,0.509689922
33,o18,0.551941238
34,o19,0.542336549
35,o2,0.552748672
36,o20,0.360520905
37,o21,0.51031772
38,o22,0.361346916
39,o3,0.504811751
40,o4,0.50477676
41,o5,0.502174773
42,o6,0.506951243
43,o7,0.567500563
44,o8,0.508330809
45,o9,0.500925926
46,r1,0.631214803
47,r2,0.534285714
48,r3,0.376636455
49,r4,0.519503546
50,r5,0.366292135
