"Time","AR-ACC","AR-A3R*40","AT-A3R*90"
1,43.803954622,43.803954622,43.803954622
1.25892541179417,43.803954622,43.803954622,43.803954622
1.58489319246111,43.803954622,43.803954622,43.803954622
1.99526231496888,43.803954622,43.803954622,43.803954622
2.51188643150958,43.803954622,43.803954622,43.803954622
3.16227766016838,43.803954622,43.803954622,43.803954622
3.98107170553497,43.803954622,43.803954622,43.803954622
5.01187233627272,43.803954622,43.803954622,43.803954622
6.30957344480193,43.803954622,43.06275066,43.06275066
7.94328234724282,43.052288954,42.357563484,42.357563484
10,42.126591088,38.955298868,38.955298868
12.5892541179417,42.126591088,32.385008282,32.388680314
15.8489319246111,39.83071453,27.521480342,27.514690668
19.9526231496888,37.530500604,17.160738934,17.119679406
25.1188643150958,37.530500604,11.560816156,11.431152768
31.6227766016838,36.720753542,6.569421162,6.408272878
39.8107170553497,34.23642941,3.985591282,3.992764824
50.1187233627273,28.154458302,3.72067072,3.928572108
63.0957344480193,18.543762022,3.492303526,3.52675361
79.4328234724282,17.085883672,3.295496616,2.850359536
100,12.619334976,2.231810916,1.886902044
125.892541179417,8.606945564,2.052995534,1.340302264
158.489319246111,6.202272418,1.783038738,0.944978275999999
199.526231496888,3.821760638,1.585702766,0.873043653999999
251.188643150958,3.037021994,1.420223742,0.670589993999999
316.227766016838,1.542913162,1.232715852,0.570609683999999
398.107170553497,1.53154959,1.106832002,0.534699037999999
501.187233627272,0.666075534,0.983362045999999,0.514752811999999
630.957344480194,0.636693222,0.828347795999999,0.449396312
794.328234724282,0.621377744,0.705707525999999,0.434991973999999
1000,0.569287576,0.438956452,0.428630765999999
1258.92541179417,0.549239978,0.309194636,0.421646053999999
1584.89319246111,0.518739158,0.27972739,0.387197904
1995.26231496888,0.473099842,0.226364722,0.321959738
2511.88643150958,0.444898986,0.186937958,0.263275307999999
3162.27766016838,0.267642796,0.145136182,0.204952067999999
3981.07170553497,0.129126458,0.1379282,0.188223936
5011.87233627273,0.047284836,0.0804049759999999,0.150146584
6309.57344480194,0.0216145139999999,0.0315530539999997,0.13241753
7943.28234724282,0.011529042,0.0310703259999998,0.0989269759999998
10000,0.00585840199999987,0.0107388399999999,0.0530951560000001
12589.2541179417,0.000980602000000053,0.00487779999999982,0.0257382560000001
15848.9319246111,0,0,0.00622846799999976
19952.6231496888,0,0,0.00487779999999982
25118.8643150958,0,0,0
31622.7766016838,0,0,0
39810.7170553498,0,0,0
50118.7233627273,0,0,0
63095.7344480194,0,0,0
79432.8234724282,0,0,0
1e+05,0,0,0
125892.541179417,0,0,0
158489.319246111,0,0,0
199526.231496888,0,0,0
251188.643150958,0,0,0
316227.766016838,0,0,0
398107.170553498,0,0,0
501187.233627272,0,0,0
630957.344480194,0,0,0
794328.234724282,0,0,0
1e+06,0,0,0
